category,untagged_count,tagged_count,suggested_tags,approved_tags,example_products,notes
NO CATEGORY,5395,1,,,Discount | RONAN LEATHER BOOT | VAUGHN LEATHER BOOT,"5,395 products with no category assigned. Cannot auto-suggest tags without category context. Skip or handle manually."
Horse/Rodeo-Tack&RidingEquip-Saddles&Accessories,3386,0,,,Silver Royal Hand Carved Show Halter | Silver Royal Silver Bright Cut Edge Show Halter | Silver Royal Silver Scroll Show Halter,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
"Horse/Rodeo-Blankets, Sheets, Protection&Covers",1648,0,,,Tough1 Spandex Tail Bag - 4 Pack | Tough1 Spandex Tail Bag - 6 Pack | Tough1 Spandex Braid-In Tail Bag - 6 Pack,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
"Horse/Rodeo-Tack&RidingEquip-Headstalls,Bits,Ctrl",1401,0,,,Royal King 12 Piece Saddle Silver Set 1 | Royal King 12 Piece Saddle Silver Set 2 | Royal King 12 Piece Saddle Silver Set 3,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Horse/Rodeo-Rodeo&Livestock Equip-Train&Handle,572,0,,,Tough1 5ft Lash for Training Whip | Tough1 6ft Nylon Lunge Whip 6 Pack | Tough1 6ft Nylon Lunge Whip 6 Pack Bright,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
"Horse/Rodeo - Feed, Water & Stable Supplies",532,0,,,Tough1 Cotton Trailer Tie | Tough1 Adjustable Buckle Cross Tie | Tough1 Adjustable Nylon Cross Tie,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Gifts & Novelties-Gift Items/Small Goods/HomeDecor,476,2,Ornament,,Horsehead Carabiner Keychain | Horsehead Carabiner Keychain | Horsehead Carabiner Keychain,"Only 2 tagged examples. Review suggested tag ""Ornament"" — may apply to only some products."
Horse/Rodeo - Rider gear,447,1,Kids,,Tough1 Spandex Helmet Cover | Tough1 Spandex Helmet Cover | Tough1 Spandex Helmet Cover,
"Horse/Rodeo-Health, Care, Grooming-Groom Tools",313,0,,,Equitare Braidettes Braiding Bands | Clear Glitter Bands | Tough1 Fetlock Hand Clipper,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
"Horse/Rodeo-Health, Care, Groom-Hoof & Ferrier",166,0,,,Tough1 Farrier Apron | Tough1 Easy Grip Hoof Pick/Brush Combination - 6 P | Tough1 Horse Head Hoof Pick/Brush Combination - 6 ,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Gifts & Novelties - Toys,87,0,,,Tough1 Toy Roping Dummy with 2 Ropes | Tough1 Toy Roping Dummy with 2 Ropes | Adjustable Stick Horse with Sound,
Accessories - Wallets & Purses,54,29,"Men, Wallet, Mens",,Ariat Trifold Shield Logo Concho Brown Rowdy | Ariat Bifold Distressed Stitch USA Flag Shield Log | Blazin Roxx Ariana Cluth,
Hats - Hat Accessories & Care,54,4,"Hat Clip, Hat Cross",,HB 7/8 Floral Embossed | 3/8 Genuine Leather Hatband Extra Large | Stampede String with Bone Beads Natural,
Accessories - Buckles,50,87,"Buckle, Men, Youth",,Crumrine Vintage Steer Skull Buckle | Crumrine Oval Buckle Initial | Crumrine Oval Buckle Initial,
Accessories - Jewelry,50,171,"Necklace, Earrings, Womens",,3PR STUD EARRINGS SQ CRYS TRI | ANTQ SLVR INVERTED TEARDROP LA | BR GlitterStudsSetMULTI,
Accessories - Belts,49,569,"Men, GIRLS, BOYS",,"Ariat Mens Work Belt 1 1/2"" Scratchless Leather Br | Machine Woven Braided Belt - 2000658X | Machine Woven Braided Belt",
Accessories - Scarves/Bandanas/Neckwear,44,12,"Unisex - Adult, Women",,Apache Scarf Ties | Bolo feather Tq Stn SV | Wild Rag Scarf,
Hats - Straw Cowboy Hats,44,66,"Adult, Straw, Kids",,Ariat Bangora Ivory/Tan 2 Cord Golden Brown Band D | Ariat Bangora 2 Cord Golden Brown Band Double S | 10X Shantung Hat,
Apparel - T-Shirts & Tanks,42,751,"Unisex - Adult, Womens, Women",,Rodeo Shop T-Shirt | Rodeo Shop T-Shirt | Rodeo Shop T-Shirt,
Accessories - Bags & Gear,25,12,"Unisex - Adult, Unisex, Woman",,Angel Ranch Remi Collection Large Tote Bag Denim | Angel Ranch Eileen Collection Conceal Carry Tote T | Angel Ranch Spotted Calf Hair Collection Conceal C,
Footwear - Footwear Accessories & Care,25,14,Unisex,,Bootjack | AriatBootCrmNeutral1.55oz | Scout Boot Polish Paste 3 oz,
Horse/Rodeo-Rodeo&Livestock Equip-Roping Gear,25,0,,,Tough1 30ft Soft Lay Head Rope | Tough1 30ft Braided Nylon Lariat | Tough1 30ft Medium Lay Lariat,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Accessories - Gloves,22,4,Men,,Tough1 Rubber Grooming Glove | Tough1 Rubber Grooming Glove | Tough1 Rubber Grooming Glove,
"Horse/Rodeo-Health, Care, Grooming-Health&Vet",21,0,,,SandClear Natural Psyllium Crumbles | SandClear Natural Psyllium Crumbles | Cool Gut Gastric Health Horse Supplement,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Footwear - Shoes,17,6311,"Men, Women, Kids",,BR.YG KinseySlideIV | BR.YG MaddieSlidePK | T.YB JasonMoccasinBR,
Hats - Felt Cowboy Hats,16,112,"Adult, Kids",,Twister Crushable Wool Hat Dakota | Twister Crushable Wool Hat Dakota | Twister Crushable Wool Hat Dakota,
Accessories - Knives & Small Tools,13,0,,,Half Serrated Blade Lock back Pocket Knife | Serrated Blade Lock back Pocket Knife | 3D Leather Knife Sheath Pancake Hand Painted Ace C,
Apparel - Jeans,9,8329,"Men, Women, Mens",,Girls Bootstitch Emb Bootcut | Girls Bootstitch Emb Bootcut | Girls Bootstitch Emb Bootcut,
Hats - Caps/Beanies/Novelty,8,68,"Adult, Unisex - Adult, Woman",,Ariat Cap Shield Toe Bug Tan | Ariat FlexFit 110 Southwest Patch OR | A.W.SB112WrkhogCH,
Apparel - Dresses,6,174,"Womens, Kids, Girls,",,Baby Girl's Western Printed Ruffle Bodysuit | Baby Girl's Western Printed Ruffle Bodysuit | Baby Girl's Western Printed Ruffle Bodysuit,
Horse/Rodeo-Leather Care&Tools-Leather Care,6,0,,,Deluxe Hardwood Boot Jack | Hardwood Boot Jack | Super-Jack Boot Jack,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Footwear - Work Boots,5,3920,"Men, Women, Infant/Toddler",,043538059041 | 043538059041 | 043538059041,
Food,3,0,,,Elk Stick | Elk Stick | Elk Stick,
Horse/Rodeo - Leather Care&Shop Tools-Shop Tools,2,0,,,Leather Hole Punch | Heritage® Compound Action Revolving Punch,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
"Horse/Rodeo-Blanket,Sheet,Protect-Leg Protect&Ship",2,0,,,Tough1 Reflective Leg Bands | Miniature Blanket 1200D 250G,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Apparel - Socks,1,48,"Women, Men, Kids",,Boot Doctor Ladies OTC Cactus Pink,
Kids,1,739,"Men, D, B",,ARCHETYPE GRIP GLOVE BLACK,
Register – Apparel,1,0,,,Register – Apparel,
Register – Footwear & Gear,1,0,,,Register – Footwear & Gear,
Register – Hats & Headwear,1,0,,,Register – Hats & Headwear,
Register – Horse Care 1,1,0,,,Register – Horse Care 1,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Register – Horse Care 2,1,0,,,Register – Horse Care 2,"No tagged examples exist for this category yet. Suggest tags based on product type (e.g. Blanket, Rope, Cinch, Horse Care, Roping Gear, etc.)"
Register – Leather & Tack,1,0,,,Register – Leather & Tack,
Register – Misc (Taxable),1,0,,,Register – Misc (Taxable),
